questionID,AnswerKey,examName,schoolGrade,question,subject
MDSA_2011_5_29,A,Maryland School Assessment - Science,5,"Use the passage below to answer the question. Rusty Crayfish: A Small Invader Causing Big Problems {Maryland-2011-5-17} The rusty crayfish originated in the Ohio River Basin. This invader species began to spread into the Great Lakes regions. They compete with the native crayfish and also, greatly decrease the amount of vegetation, thereby impacting entire food webs. The rusty crayfish have a large eating capacity when consuming aquatic plants. In addition, they eat aquatic insects. When the rusty crayfish reproduce, they can lay 50–575 eggs at one time. Due to their hyper-appetite, rusty crayfish greatly decrease the amount and diversity of plants in aquatic areas, increase competition with native crayfish, and consume an abnormal amount of other aquatic species. When the rusty crayfish invade, they are disrupting the entire ecosystem. The decreased amount of diversity in vegetation affects the population of many other aquatic species in the surrounding ecosystem. Plant beds provide a habitat for invertebrates as well as shelter for many different species of fish. When vegetation is disturbed, all of the species which rely on it have a harder time surviving. Rusty crayfish displace the native species of crayfish from the aquatic ecosystems it invades. In a study of 150 lakes and streams that had been invaded by the rusty crayfish, seventy-five percent had no native crayfish remaining. The displacement occurs through competition for food. Because the “rusty” is so aggressive, natives get beat out when feeding and soon their population greatly decreases. As aquatic species disappear, disruption of the food web occurs, which affects all the species in an ecosystem. By introducing rusty crayfish to new ecosystems, they have a great potential to crumble. What role does the rusty crayfish have in a food web? (A) consumer (B) decomposer (C) producer (D) scavenger",Biology
MDSA_2011_5_37,C,Maryland School Assessment - Science,5,Use the information and data table below to answer the question. A student performed an investigation on green single-celled organisms called Euglena. Two samples of Euglena were placed in two different containers of water taken from the same source. One sample of Euglena was kept in a dark area. The other sample of Euglena was kept in a lighted area. The student recorded the observations in the table below. {Maryland-2011-5-28} What is the primary source of energy used by Euglena in Sample 2? (A) food (B) oxygen (C) sunlight (D) water,Biology
MCAS_2010_5_16,C,MCAS,5,In which circuit are both bulbs lit? (A) {MCAS-5-2010-8} (B) {MCAS-5-2010-9} (C) {MCAS-5-2010-10} (D) {MCAS-5-2010-11},Biology
MCAS_2011_5_6,C,MCAS,5,"The drawing below shows a plant during the early development stage in its life cycle. {MCAS-5-2011-6} Under normal conditions, which of the following will occur next as the plant continues to grow? (A) Fruits and roots will develop. (B) Seeds and stems will develop. (C) Stems and leaves will develop. (D) Flowers and fruits will develop.",Biology
MCAS_2013_5_16,D,MCAS,5,The map below shows the location of South Carolina. {MCAS-5-2013-14} South Carolina is humid during the summer months. Which of the following is the most likely cause of the humid conditions? (A) runoff from inland mountains (B) flooding from rivers and streams (C) groundwater bubbling to the surface (D) evaporation from the surface of the ocean,Biology
MCAS_2014_5_8,A,MCAS,5,The picture below shows a turtle living in a container. This turtle is kept in a classroom. {MCAS-5-2014-11} The students in the class want to build a new container to hold five more turtles. Which of the following changes is most important to make when they build a new container for all six turtles to live in? (A) use a larger base (B) use a taller frame (C) use thicker glass walls (D) use a stronger screen lid,Biology
MCAS_2014_5_12,A,MCAS,5,A volcano erupted in the Atlantic Ocean and formed a new island over time. The picture below shows the new island as it was forming. {MCAS-5-2014-14} The new island is mainly made of which type of rock? (A) igneous (B) limestone (C) metamorphic (D) sedimentary,Biology
MCAS_2015_5_6,C,MCAS,5,Which of the following diagrams correctly shows the four planets closest to the Sun and their moons? (A) {MCAS-5-2015-2} (B) {MCAS-5-2015-3} (C) {MCAS-5-2015-4} (D) {MCAS-5-2015-5},Biology
MCAS_2015_5_18,D,MCAS,5,The picture below shows a wind-up toy train. The key on the side of the train is turned to wind up the toy. {MCAS-5-2015-14} The key used to wind up the train is an example of which simple machine? (A) pulley (B) wedge (C) inclined plane (D) wheel and axle,Biology
MEA_2010_5_1,B,MEA,5,Which organism has only one cell? (A) {MEA-5-2010-1} (B) {MEA-5-2010-2} (C) {MEA-5-2010-3} (D) {MEA-5-2010-4},Biology
MEA_2010_5_7,A,MEA,5,The picture below shows organisms that live in the ocean. {MEA-5-2010-6} Which organism makes its own food? (A) organism A (B) organism B (C) organism C (D) organism D,Biology
MEAP_2005_5_25,B,MEAP,5,The picture below shows the life cycle of a gypsy moth. {MEAP-5-2005-11} During which stage of its life cycle is the gypsy moth most likely to cause damage to crops? (A) {MEAP-5-2005-12} (B) {MEAP-5-2005-13} (C) {MEAP-5-2005-14} (D) {MEAP-5-2005-15},Biology
MEAP_2005_5_26,D,MEAP,5,{MEAP-5-2005-16} Look at the beaver tail in the picture above. This tail is adapted to help the beaver move swiftly through the water when swimming. Which of the following foot structures most likely belongs to the beaver? (A) {MEAP-5-2005-17} (B) {MEAP-5-2005-18} (C) {MEAP-5-2005-19} (D) {MEAP-5-2005-20},Biology
MEAP_2005_5_29,D,MEAP,5,"Use the following information to answer the question. {MEAP-5-2005-21} Ankylosaurus was a large armored dinosaur that lived between 65 and 70 million years ago. They had many unique features, including rows of spikes along their entire bodies, large horns on the sides of their heads, and club-like tails. They were approximately 10 m long, with an average body mass of 2,700 kg (as much as a small truck). The top parts of their bodies were covered with thick plates fused into their leathery skin, and they had bony plates around their eyes. The undersides of their bellies were not plated. Scientists believe Ankylosaurus was a plant-eater. Partial skeletons of Ankylosaurus have been found in Montana, USA, and Alberta, Canada. Fossilized tracks that scientists believe were made by Ankylosaurus have also been found in Bolivia, South America. {MEAP-5-2005-22} The chart above provides partial data on four different dinosaurs. Which of these dinosaurs might have preyed on Ankylosaurs? (A) Allosaurus (B) Gigantosaurus (C) Carcharodontosaurus (D) Tyrannosaurus rex",Biology
NCEOGA_2013_5_23,A,North Carolina READY End-of-Grade Assessment,5,"A student uses a rubber band to launch the four objects shown in the table. {NC-5-2013-5} If the student pulls the rubber band back the same amount each time, which object will most likely move the fastest when launched? (A) paper clip (B) piece of paper (C) eraser (D) rubber ball",Biology
OHAT_2007_5_5,D,Ohio Achievement Tests,5,Use the following information to answer the question. {OH-5-2007-2} The picture shows a pond ecosystem. Many plants and animals live in and around the pond. Which organism in the pond ecosystem completely changes its physical features and food source when it becomes an adult? (A) Duck (B) Turtle (C) Trout (D) Butterfly,Biology
OHAT_2007_5_30,C,Ohio Achievement Tests,5,Use the following information to answer the question. Model Telephone Two students want to find out what affects the sounds heard through model telephones. They investigate the materials used and the tightness of the material connecting the cups. Their first three setups are shown. They use the same length of string or wire in each setup. The boy repeats the same sounds at the same volume for each setup. {OH-5-2007-15} They record results of the three setups in the table below. {OH-5-2007-16} Which variable changed between setup 1 and setup 2? (A) the type of cups used (B) the number of cups used (C) the tightness of the string (D) the thickness of the string,Biology
OHAT_2007_5_36,B,Ohio Achievement Tests,5,Use the following table to answer the question. {OH-5-2007-19} A student created this table for a report on animals that can be found in Ohio. Which animals give birth to live young? (A) hawk and black bear (B) beaver and black bear (C) hawk and potato beetle (D) beaver and potato beetle,Biology
OHAT_2008_5_15,C,Ohio Achievement Tests,5,Which electric circuit produces light? (A) {OH-5-2008-4} (B) {OH-5-2008-5} (C) {OH-5-2008-6} (D) {OH-5-2008-7},Biology
OHAT_2008_5_42,B,Ohio Achievement Tests,5,"Use the following information to answer the question. Two Investigations Students conduct investigations with solids and liquids over several days. {OH-5-2008-11} Students pour vinegar into a beaker. They add a spoonful of baking soda to the vinegar. They observe bubbles. The bubbles stop when the baking soda is no longer visible. {OH-5-2008-12} Students pour water into a beaker. They add a cube of frozen water (ice). They observe that the water level changes to 500 mL. After a few minutes, the cube begins to melt. When the cube melts, the water level does not change. Look at the investigation from day 1. What observation suggests that a gas has formed? (A) The baking soda disappears. (B) Bubbles are formed in the vinegar. (C) All chemical reactions produce gas. (D) The vinegar begins to give off a smell.",Biology
OHAT_2009_5_35,C,Ohio Achievement Tests,5,Three metal cubes are heated to the temperatures shown and placed in contact with one another on a nonconducting surface. The picture below shows the cubes next to one another and their temperatures. {OH-5-2009-22} In which direction does thermal energy begin to flow between the metal cubes? (A) {OH-5-2009-23} (B) {OH-5-2009-24} (C) {OH-5-2009-25} (D) {OH-5-2009-26},Biology
OHAT_2010_5_17,C,Ohio Achievement Tests,5,"Use the illustrations below to compare the life cycles of mosquitoes and grasshoppers. {OH-5-2010-7} What is one correct comparison of the mosquito and grasshopper life cycles? (A) Mosquito larvae develop on land, and grasshopper nymphs develop in water. (B) Grasshopper eggs are laid in water, and mosquito eggs are laid in the ground. (C) Mosquitoes change habitats during their lives, and grasshoppers develop in the same habitat. (D) Grasshoppers change shape as they develop, and mosquitoes do not change shape as they develop.",Biology
TAKS_2009_5_24,A,TAKS,5,"{TX-5-2009-21} Some students measured the growth of four tomato plants after one month. The plants grew in identical containers with different soils. The Students made a table of their data, as shown above. What is the best title for the second column in their table? (A) Plant Height (cm) (B) Days of Growth (C) Container Size (mL) (D) Number of Plants",Biology
TAKS_2009_5_35,C,TAKS,5,"{TX-5-2009-26} At the beginning of the week, there were three snails and 12 live plants in an aquarium. The picture above shows the aquarium at the end of the week. Which of the following most likely happened during the week? (A) The snails reproduced faster than the plants. (B) The plants grew at a faster rate than the snails. (C) The snails ate many of the plants. (D) The number of plants and snails both decreased.",Biology
TAKS_2009-A_5_7,A,TAKS,5,Look at the drawing below. It shows a spoon in a bowl of water. The spoon looks broken. {TX-5-2009-30} What makes the spoon look broken? (A) The light is being refracted. (B) The light is being conducted. (C) The light is being absorbed.,Biology
TAKS_2009-A_5_11,B,TAKS,5,"Look at the chart below. It is a record of the average sea level in centimeters (cm) at Galveston, Texas, from 1950 to 1975. {TX-5-2009-31} How many centimeters (cm) did the average sea level change from 1950 to 1975? (A) 2 cm (B) 10 cm (C) 254 cm",Biology
TAKS_2009-A_5_14,C,TAKS,5,Look at the diagram below. It shows a ball as it falls and then bounces several times. {TX-5-2009-32} What will happen to the ball in the next few seconds? (A) It will bounce higher. (B) It will become flat. (C) It will stop moving.,Biology
VASoL_2007_3_10,A,Virginia Standards of Learning - Science,3,{VA-3-2007-9} These girls can hear each other because the string — (A) vibrates (B) stretches (C) is strong (D) is long,Biology
VASoL_2007_3_11,B,Virginia Standards of Learning - Science,3,{VA-3-2007-10} Which of the following describes the motion of Earth shown in this picture? (A) Vibrating (B) Rotating (C) Revolving (D) Falling,Biology
VASoL_2007_3_19,C,Virginia Standards of Learning - Science,3,{VA-3-2007-21} Which of these shows the day when this thermometer was left outside? (A) {VA-3-2007-22} (B) {VA-3-2007-23} (C) {VA-3-2007-24} (D) {VA-3-2007-25},Biology
VASoL_2007_3_37,A,Virginia Standards of Learning - Science,3,{VA-3-2007-46} Which of these belongs in the center? (A) Things that cover animal bodies (B) Things that make the animal smaller (C) Things that keep animal bodies cool (D) Things that help animal bodies get oxygen,Biology
VASoL_2008_3_7,B,Virginia Standards of Learning - Science,3,Students grew some seeds in a plastic bag. They then took a picture each day to have a record of growth. Which of these is probably the first picture the students took? (A) {VA-3-2008-8} (B) {VA-3-2008-9} (C) {VA-3-2008-10} (D) {VA-3-2008-11},Biology
VASoL_2010_3_12,A,Virginia Standards of Learning - Science,3,{VA-3-2010-8} Students planted two types of bean seeds. Both types of bean plants are measured after two weeks. Which of these questions are they MOST likely trying to answer? (A) Which type of bean plant grows faster? (B) Which type of bean plant is prettier? (C) Which type of bean plant tastes better? (D) Which type of bean plant costs more?,Biology
VASoL_2010_3_31,B,Virginia Standards of Learning - Science,3,{VA-3-2010-28} This pencil is about how many paper clips long? (A) 2 (B) 5 (C) 7 (D) 9,Biology
VASoL_2010_3_33,C,Virginia Standards of Learning - Science,3,Which of these birds MOST likely uses its beak to scoop up small fish for food? (A) {VA-3-2010-30} (B) {VA-3-2010-31} (C) {VA-3-2010-32} (D) {VA-3-2010-33},Biology
VASoL_2007_5_3,D,Virginia Standards of Learning - Science,5,{VA-5-2007-3} Which of these belongs in square (A) of this flow chart? A Bird (B) Toad (C) Snake (D) Fish,Biology
VASoL_2007_5_33,B,Virginia Standards of Learning - Science,5,{VA-5-2007-34} Which of the following organisms provides energy for more than one organism in this food web? (A) Bird (B) Plant (C) Fox (D) Mouse,Biology
VASoL_2008_5_21,B,Virginia Standards of Learning - Science,5,"{VA-5-2008-22} Which location is likely to have the greatest water pressure, the coldest temperatures, and the smallest number of living organisms? (A) 1 (B) 2 (C) 3 (D) 4",Biology
VASoL_2008_5_39,C,Virginia Standards of Learning - Science,5,{VA-5-2008-38} Which labeled part in this picture has evidence of kinetic energy? (A) 1 (B) 2 (C) 3 (D) 4,Biology
VASoL_2009_5_1,B,Virginia Standards of Learning - Science,5,"{VA-5-2009-1} Based on the picture, the bag of leaves has — (A) less mass than the pebble (B) the same mass as the pebble (C) the same volume as the pebble (D) less volume than the pebble",Biology
VASoL_2009_5_39,C,Virginia Standards of Learning - Science,5,{VA-5-2009-28} Lee uses a microscope during science class. He sees this organism in a drop of water. Which organism did he most likely see? (A) Paramecium (B) Vorticella (C) Euglena (D) Amoeba,Biology
VASoL_2010_5_2,D,Virginia Standards of Learning - Science,5,"{VA-5-2010-1} A student observes a mineral that is colorless and harder than glass. Based on the chart, which mineral is the student observing? (A) Amphibole (B) Feldspar (C) Garnet (D) Quartz",Biology
VASoL_2010_5_19,B,Virginia Standards of Learning - Science,5,{VA-5-2010-17} Part of a coral reef is shown. A coral reef is — (A) a rock (B) an ecosystem (C) an ocean current (D) an underwater cave,Biology
VASoL_2011_5_5,D,Virginia Standards of Learning - Science,5,{VA-5-2011-2} Acorn barnacles are seashore animals found on rocks. They live 1 to 2 meters above low-tide level. These rocks are the acorn barnacles’ — (A) ecosystem (B) community (C) food web (D) habitat,Biology
VASoL_2011_5_33,D,Virginia Standards of Learning - Science,5,{VA-5-2011-29} Which of these is a difference between tadpoles and adult frogs? (A) Only tadpoles can swim. (B) Only tadpoles can lay eggs. (C) Only frogs are eaten by predators. (D) Only frogs can survive on land.,Biology
WashingtonMSP_2012_5_7,A,Washington MSP,5,"Use the following information to answer the question. Paul and Sheryl studied a Toy Car System at school. The Toy Car System is a model car with a battery. When the ON button is pressed, the toy car rolls forward, plays music, and flashes the headlamps. Paul and Sheryl made the following diagram showing the parts of the Toy Car System. {WA-5-2012-3} Paul and Sheryl did an investigation with the toy car. They recorded their data in the table shown. {WA-5-2012-4} What question can Paul and Sheryl answer with their data? (A) How does the time the car rolled affect the distance the car moved? (B) How does the size of the wheels affect the distance the car moved? (C) How does the mass of the car affect the distance the car moved?",Biology
WashingtonMSP_2012_5_9,A,Washington MSP,5,"Use the following information to answer the question. Paul and Sheryl studied a Toy Car System at school. The Toy Car System is a model car with a battery. When the ON button is pressed, the toy car rolls forward, plays music, and flashes the headlamps. Paul and Sheryl made the following diagram showing the parts of the Toy Car System. {WA-5-2012-3} Most real cars are powered by gasoline. Scientists are developing cars powered only by batteries. What is a problem scientists are trying to solve by developing these cars? (A) Gasoline resources are limited. (B) Cars often break down on highways. (C) Batteries are expensive to produce.",Biology
94512,C,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Which force causes the rock materials to move from A to B? (A) electricity (B) friction (C) gravity (D) magnetism",Biology
94513,A,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Letter C shows the process of erosion, because rock material is (A) moved by running water (B) chipped, with sharp edges (C) forming solid rock (D) soaked in ocean water",Biology
94514,B,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Letter D shows the process of deposition, because rock material is (A) broken up by the ocean bottom (B) settled on the ocean bottom (C) moved by ocean water (D) absorbed by ocean water",Biology
94519,D,NYSEDREGENTS,4,"The diagram below shows a toaster. {Regents_2014_4th_Grade_02} In order to toast a slice of bread, the toaster changes electrical energy into which other type of energy? (A) magnetic (B) chemical (C) mechanical (D) heat",Biology
94522,C,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows a person in a wheelchair, using a ramp to enter a building. {Regents_2014_4th_Grade_03} The ramp in the diagram is an example of which simple machine? (A) pulley (B) lever (C) inclined plane (D) balance",Biology
94523,D,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows a person in a wheelchair, using a ramp to enter a building. {Regents_2014_4th_Grade_03} Which type of energy is the person using to move the wheelchair up the ramp? (A) heat (B) light (C) magnetic (D) mechanical",Biology
94530,C,NYSEDREGENTS,4,"The four bean seeds in the diagram below were planted on different days. Each seed was planted in the same kind of soil and pot. The seeds were given the same amounts of sunlight and water each day. The diagram shows all four pots on the same day. The pots are labeled A, B, C, and D. {Regents_2014_4th_Grade_04} Based on the growth and development of the four bean seeds, which one most likely was planted before the other three? (A) A (B) B (C) C (D) D",Biology
94533,B,NYSEDREGENTS,4,The diagram below shows an emperor penguin. Four body structures are labeled. {Regents_2014_4th_Grade_05} Which body structure helps the penguin stay warm as it dives into icy water? (A) beak (B) feathers (C) flippers (D) webbed feet,Biology
94536,C,NYSEDREGENTS,4,Base your answer on the food chain below and on your knowledge of science. {Regents_2014_4th_Grade_06} Which organism in this food chain is a producer? (A) cricket (B) frog (C) green plant (D) snake,Biology
94537,B,NYSEDREGENTS,4,Base your answer on the food chain below and on your knowledge of science. {Regents_2014_4th_Grade_06} Which organism in this food chain is both predator and prey? (A) cricket (B) frog (C) green plant (D) snake,Biology
AIMS_2009_4_22,D,AIMS,4,A bicycle is a system of parts that work together. {Arizona-2009-4-21} Not every part of the bicycle is needed for it to move. Some parts make it easier or safer to ride. Which of the following parts is needed to make the bicycle move? (A) brakes (B) handlebars (C) seat (D) wheels,Physics
AIMS_2009_4_26,B,AIMS,4,Look at the picture below. {Arizona-2009-4-23} Where would you find the saltiest water? (A) river (B) ocean (C) mountain lake (D) snow covered mountains,Physics
AIMS_2009_4_27,A,AIMS,4,"A scientist wanted to see if the amount of garbage that Americans threw away changed over time. He collected information and then showed his results in the graph below. {Arizona-2009-4-24} Based on this graph, what could the scientist say about the amount of garbage that each person threw away? (A) It increased over time. (B) It decreased over time. (C) It increased the most in 1980. (D) It decreased the most in 1990.",Physics
AIMS_2009_4_31,B,AIMS,4,"Maria checked the outside temperature before and after school. According to the thermometers below, how much did the temperature change during the day? {Arizona-2009-4-25} (A) It increased by 2° C. (B) It increased by 14° C. (C) It decreased by 2° C. (D) It decreased by 14° C.",Physics
AKDE&ED_2008_4_2,A,Alaska Department of Education & Early Development,4,Which tool would a scientist use to study the shape of fish eggs? (A) {Alaska-2008-4-1} (B) {Alaska-2008-4-2} (C) {Alaska-2008-4-3} (D) {Alaska-2008-4-4},Physics
AKDE&ED_2008_4_9,D,Alaska Department of Education & Early Development,4,The picture below shows an energy pyramid. {Alaska-2008-4-9} What will most likely happen to the foxes and the wolves if the rabbits are removed? (A) The foxes will eat more wolves. (B) The foxes will eat fewer wolves. (C) There will be more foxes and wolves. (D) There will be fewer foxes and wolves.,Physics
AKDE&ED_2008_4_13,C,Alaska Department of Education & Early Development,4,Living plants and fish are show below. {Alaska-2008-4-11} These plants are providing the fish with (A) water. (B) light. (C) oxygen. (D) carbon dioxide.,Physics
AKDE&ED_2008_4_15,D,Alaska Department of Education & Early Development,4,The tracks below were made by a dinosaur. {Alaska-2008-4-12} Scientists can conclude by studying these tracks that this dinosaur (A) could not fly. (B) could not swim. (C) walked using one leg. (D) walked using two legs.,Physics
AKDE&ED_2008_4_18,B,Alaska Department of Education & Early Development,4,The picture below shows the melting of an ice cube. {Alaska-2008-4-13} The ice cube changed because it (A) cooled. (B) warmed. (C) hardened. (D) evaporated.,Physics
AKDE&ED_2008_4_20,D,Alaska Department of Education & Early Development,4,An extinct animal called a mammoth is shown below. {Alaska-2008-4-14} Which statement is an observation about the mammoth? (A) The mammoth was related to the elephant. (B) The mammoth was a slow-moving animal. (C) The mammoth’s tusks were used for protection. (D) The mammoth’s tusks were curved and pointed,Physics
AKDE&ED_2008_4_34,A,Alaska Department of Education & Early Development,4,Which bird foot is best for swimming? (A) {Alaska-2008-4-31} (B) {Alaska-2008-4-32} (C) {Alaska-2008-4-33} (D) {Alaska-2008-4-34},Physics
AKDE&ED_2008_4_38,C,Alaska Department of Education & Early Development,4,The picture below shows an ocean bay food chain. {Alaska-2008-4-35} Sea otters move into the ocean bay. They eat all the sea urchins. This change will cause the (A) kelp to have less food. (B) crabs to have more food. (C) sea ducks to have less food. (D) arctic foxes to have more food.,Physics
AKDE&ED_2008_4_40,C,Alaska Department of Education & Early Development,4,"The picture below shows a small, shelled animal. {Alaska-2008-4-36} Which tool should be used to measure the mass of this shelled animal? (A) {Alaska-2008-4-37} (B) {Alaska-2008-4-38} (C) {Alaska-2008-4-39} (D) {Alaska-2008-4-40}",Physics
AKDE&ED_2008_4_44,C,Alaska Department of Education & Early Development,4,The picture below shows a model of the rock cycle. {Alaska-2008-4-42} During which part of the rock cycle does water break rocks apart? (A) part 1 (B) part 2 (C) part 3 (D) part 4,Physics
AKDE&ED_2008_4_47,A,Alaska Department of Education & Early Development,4,Which model correctly shows energy flow in a food chain? (A) {Alaska-2008-4-44} (B) {Alaska-2008-4-45} (C) {Alaska-2008-4-46} (D) {Alaska-2008-4-47},Physics
AKDE&ED_2012_4_3,B,Alaska Department of Education & Early Development,4,A pond area food chain is shown. {Alaska-2012-4-2} The pond area experiences a drought. There is less water in the pond where the frogs live. What will most likely happen first if the water level in the pond continues to decrease? (A) There will be more frogs. (B) There will be fewer hawks. (C) There will be taller grasses. (D) There will be smaller grasshoppers.,Physics
AKDE&ED_2012_4_7,B,Alaska Department of Education & Early Development,4,"Scientists can classify leaves by the patterns of their veins. {Alaska-2012-4-5} Based on the pattern of its veins, the unknown leaf is most likely which type of leaf? (A) parallel (B) pinnate (C) palmate (D) reticulate",Physics
