questionID,AnswerKey,examName,schoolGrade,question,subject,bag_question,cleaned_question,cluster,final_cleaned,cluster0
MDSA_2007_5_48,D,Maryland School Assessment - Science,5,Each of the animals below belongs to a different group. {Maryland-2007-5-30} Which physical feature classifies all four animals into the same group? (A) the type of skin (B) the number of legs (C) the size of the eyes (D) the location of the mouth,Biology,"['animals', 'belongs', 'classifies', 'different', 'group']",animal belongs classifies different group,4,animal belongs classifies group,0
MDSA_2008_5_8,B,Maryland School Assessment - Science,5,Use the information below to answer the question. Students placed 250 milliliters of water in three identical containers. Container 1 had a tightly sealed lid and was placed on a classroom counter. Container 2 had no lid and was placed on a classroom table. Container 3 had no lid and was placed on a table outside in the shade. The students measured the amount of water in each container at the end of each day for four days. Their results are shown in the data table below. {Maryland-2008-5-1} Which process changes evaporated water into liquid water? (A) competition (B) condensation (C) erosion (D) precipitation,Biology,"['container', 'lid', 'placed', 'table', 'water']",container lid place table water,0,container lid place water,0
MDSA_2008_5_21,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. Sunlight enters a room through an open window. The sunlight shines on the wood table, area rug on the floor, and the plane mirror and metal spoon on the table. A spot of light appears on the wall opposite the window. {Maryland-2008-5-5} An image of the ceiling fan appears in the plane mirror on the table. How does the image of the fan in the mirror compare to the actual fan on the ceiling? (A) larger (B) smaller (C) reversed (D) upside down",Biology,"['fan', 'image', 'mirror', 'table', 'window']",fan image mirror table window,0,fan image mirror window,0
MDSA_2009_5_31,A,Maryland School Assessment - Science,5,Two circuits are shown below. The light bulb of Circuit 1 does not glow. The light bulb of Circuit 2 glows. {Maryland-2009-5-16} Which statement best explains why the light bulb of Circuit 1 does not glow? (A) Circuit 1 is an open circuit. (B) Circuit 1 is a closed circuit. (C) The positive terminal of Circuit 1 is connected to the battery. (D) The negative terminal of Circuit 1 is connected to the battery.,Biology,"['battery', 'bulb', 'circuit', 'light', 'terminal']",battery bulb circuit light terminal,0,battery bulb circuit light terminal,0
MDSA_2009_5_45,B,Maryland School Assessment - Science,5,Some organisms require little water to live. Which organism is least likely affected by a drought? (A) {Maryland-2009-5-22} (B) {Maryland-2009-5-23} (C) {Maryland-2009-5-24} (D) {Maryland-2009-5-25},Biology,"['affected', 'drought', 'least', 'likely', 'little']",affected drought least likely little,0,affected drought least little,0
MDSA_2010_5_23,A,Maryland School Assessment - Science,5,"Use the information below to answer the question. Some rocks contain small amounts of iron. These rocks have magnetic properties. The iron particles act like tiny magnets that are attracted by the two oppositely charged magnetic poles of Earth. {Maryland-2010-5-6} A student uses a wand with a magnet on the tip and iron filings to complete pictures. A clear sheet of plastic covers a cardboard picture. Iron filings are between the cardboard picture and the sheet of plastic. As the student moves the wand across the sheet of plastic, the iron filings follow the movement of the wand. {Maryland-2010-5-9} Which change in the design of the toy would allow the student to move more iron filings with the wand at one time? (A) Use a wand with a more powerful magnet. (B) Make the iron filings a different color. (C) Make the sheet of plastic larger. (D) Use a longer wand.",Biology,"['iron', 'magnetic', 'rocks', 'use', 'wand']",iron magnetic rock use wand,0,iron magnetic rock wand,0
MDSA_2010_5_26,C,Maryland School Assessment - Science,5,Use the information and table below to answer the question. A group of students investigated natural resources and the products humans make from these natural resources. The students recorded their findings in the table below. {Maryland-2010-5-10} Humans do not use cows (A) for milk (B) for meat (C) to make paper (D) to make leather,Biology,"['humans', 'make', 'resources', 'students', 'use']",human make resource student use,0,human resource,0
MDSA_2010_5_37,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. The maps below show information about the air quality for one day in June, as reported from different air quality stations. {Maryland-2010-5-18} Which of these activities is the most likely source of poor air quality? (A) grazing cattle (B) planting crops (C) burning tires (D) recycling aluminum",Biology,"['activities', 'air', 'information', 'quality', 'stations']",activity air information quality station,0,activity air quality station,3
MDSA_2011_5_29,A,Maryland School Assessment - Science,5,"Use the passage below to answer the question. Rusty Crayfish: A Small Invader Causing Big Problems {Maryland-2011-5-17} The rusty crayfish originated in the Ohio River Basin. This invader species began to spread into the Great Lakes regions. They compete with the native crayfish and also, greatly decrease the amount of vegetation, thereby impacting entire food webs. The rusty crayfish have a large eating capacity when consuming aquatic plants. In addition, they eat aquatic insects. When the rusty crayfish reproduce, they can lay 50–575 eggs at one time. Due to their hyper-appetite, rusty crayfish greatly decrease the amount and diversity of plants in aquatic areas, increase competition with native crayfish, and consume an abnormal amount of other aquatic species. When the rusty crayfish invade, they are disrupting the entire ecosystem. The decreased amount of diversity in vegetation affects the population of many other aquatic species in the surrounding ecosystem. Plant beds provide a habitat for invertebrates as well as shelter for many different species of fish. When vegetation is disturbed, all of the species which rely on it have a harder time surviving. Rusty crayfish displace the native species of crayfish from the aquatic ecosystems it invades. In a study of 150 lakes and streams that had been invaded by the rusty crayfish, seventy-five percent had no native crayfish remaining. The displacement occurs through competition for food. Because the “rusty” is so aggressive, natives get beat out when feeding and soon their population greatly decreases. As aquatic species disappear, disruption of the food web occurs, which affects all the species in an ecosystem. By introducing rusty crayfish to new ecosystems, they have a great potential to crumble. What role does the rusty crayfish have in a food web? (A) consumer (B) decomposer (C) producer (D) scavenger",Biology,"['amount', 'aquatic', 'crayfish', 'rusty', 'species']",amount aquatic crayfish rusty specie,0,amount aquatic crayfish rusty specie,2
MDSA_2011_5_37,C,Maryland School Assessment - Science,5,Use the information and data table below to answer the question. A student performed an investigation on green single-celled organisms called Euglena. Two samples of Euglena were placed in two different containers of water taken from the same source. One sample of Euglena was kept in a dark area. The other sample of Euglena was kept in a lighted area. The student recorded the observations in the table below. {Maryland-2011-5-28} What is the primary source of energy used by Euglena in Sample 2? (A) food (B) oxygen (C) sunlight (D) water,Biology,"['euglena', 'kept', 'sample', 'student', 'water']",euglena keep sample student water,0,euglena keep sample water,0
MCAS_2010_5_16,C,MCAS,5,In which circuit are both bulbs lit? (A) {MCAS-5-2010-8} (B) {MCAS-5-2010-9} (C) {MCAS-5-2010-10} (D) {MCAS-5-2010-11},Biology,"['bulbs', 'circuit', 'lit']",bulb circuit lit,0,bulb circuit lit,0
MCAS_2011_5_6,C,MCAS,5,"The drawing below shows a plant during the early development stage in its life cycle. {MCAS-5-2011-6} Under normal conditions, which of the following will occur next as the plant continues to grow? (A) Fruits and roots will develop. (B) Seeds and stems will develop. (C) Stems and leaves will develop. (D) Flowers and fruits will develop.",Biology,"['develop', 'fruits', 'plant', 'shows', 'stems']",develop fruit plant show stem,3,develop fruit plant stem,0
MCAS_2013_5_16,D,MCAS,5,The map below shows the location of South Carolina. {MCAS-5-2013-14} South Carolina is humid during the summer months. Which of the following is the most likely cause of the humid conditions? (A) runoff from inland mountains (B) flooding from rivers and streams (C) groundwater bubbling to the surface (D) evaporation from the surface of the ocean,Biology,"['carolina', 'humid', 'south', 'streams', 'surface']",carolina humid south streams surface,0,carolina humid south streams surface,0
MCAS_2014_5_8,A,MCAS,5,The picture below shows a turtle living in a container. This turtle is kept in a classroom. {MCAS-5-2014-11} The students in the class want to build a new container to hold five more turtles. Which of the following changes is most important to make when they build a new container for all six turtles to live in? (A) use a larger base (B) use a taller frame (C) use thicker glass walls (D) use a stronger screen lid,Biology,"['build', 'container', 'turtle', 'turtles', 'use']",build container turtle turtle use,0,build container turtle turtle,0
MCAS_2014_5_12,A,MCAS,5,A volcano erupted in the Atlantic Ocean and formed a new island over time. The picture below shows the new island as it was forming. {MCAS-5-2014-14} The new island is mainly made of which type of rock? (A) igneous (B) limestone (C) metamorphic (D) sedimentary,Biology,"['atlantic', 'island', 'new', 'shows', 'time']",atlantic island new show time,3,atlantic island new time,0
MCAS_2015_5_6,C,MCAS,5,Which of the following diagrams correctly shows the four planets closest to the Sun and their moons? (A) {MCAS-5-2015-2} (B) {MCAS-5-2015-3} (C) {MCAS-5-2015-4} (D) {MCAS-5-2015-5},Biology,"['closest', 'correctly', 'diagrams', 'following', 'four']",close correctly diagram follow four,1,close correctly four,0
MCAS_2015_5_18,D,MCAS,5,The picture below shows a wind-up toy train. The key on the side of the train is turned to wind up the toy. {MCAS-5-2015-14} The key used to wind up the train is an example of which simple machine? (A) pulley (B) wedge (C) inclined plane (D) wheel and axle,Biology,"['axle', 'key', 'toy', 'train', 'wind']",axle key toy train wind,0,axle key toy train wind,0
MEA_2010_5_1,B,MEA,5,Which organism has only one cell? (A) {MEA-5-2010-1} (B) {MEA-5-2010-2} (C) {MEA-5-2010-3} (D) {MEA-5-2010-4},Biology,"['cell', 'one', 'organism']",cell one organism,0,cell one organism,0
MEA_2010_5_7,A,MEA,5,The picture below shows organisms that live in the ocean. {MEA-5-2010-6} Which organism makes its own food? (A) organism A (B) organism B (C) organism C (D) organism D,Biology,"['food', 'live', 'makes', 'ocean', 'organism']",food live make ocean organism,0,food live ocean organism,0
MEAP_2005_5_25,B,MEAP,5,The picture below shows the life cycle of a gypsy moth. {MEAP-5-2005-11} During which stage of its life cycle is the gypsy moth most likely to cause damage to crops? (A) {MEAP-5-2005-12} (B) {MEAP-5-2005-13} (C) {MEAP-5-2005-14} (D) {MEAP-5-2005-15},Biology,"['cycle', 'gypsy', 'life', 'moth', 'picture']",cycle gypsy life moth picture,0,cycle gypsy life moth picture,0
MEAP_2005_5_29,D,MEAP,5,"Use the following information to answer the question. {MEAP-5-2005-21} Ankylosaurus was a large armored dinosaur that lived between 65 and 70 million years ago. They had many unique features, including rows of spikes along their entire bodies, large horns on the sides of their heads, and club-like tails. They were approximately 10 m long, with an average body mass of 2,700 kg (as much as a small truck). The top parts of their bodies were covered with thick plates fused into their leathery skin, and they had bony plates around their eyes. The undersides of their bellies were not plated. Scientists believe Ankylosaurus was a plant-eater. Partial skeletons of Ankylosaurus have been found in Montana, USA, and Alberta, Canada. Fossilized tracks that scientists believe were made by Ankylosaurus have also been found in Bolivia, South America. {MEAP-5-2005-22} The chart above provides partial data on four different dinosaurs. Which of these dinosaurs might have preyed on Ankylosaurs? (A) Allosaurus (B) Gigantosaurus (C) Carcharodontosaurus (D) Tyrannosaurus rex",Biology,"['allosaurus', 'dinosaurs', 'provides', 'question', 'rex']",allosaurus dinosaur provide question rex,0,allosaurus dinosaur provide rex,0
NCEOGA_2013_5_23,A,North Carolina READY End-of-Grade Assessment,5,"A student uses a rubber band to launch the four objects shown in the table. {NC-5-2013-5} If the student pulls the rubber band back the same amount each time, which object will most likely move the fastest when launched? (A) paper clip (B) piece of paper (C) eraser (D) rubber ball",Biology,"['amount', 'band', 'paper', 'rubber', 'student']",amount band paper rubber student,0,amount band paper rubber,2
OHAT_2007_5_5,D,Ohio Achievement Tests,5,Use the following information to answer the question. {OH-5-2007-2} The picture shows a pond ecosystem. Many plants and animals live in and around the pond. Which organism in the pond ecosystem completely changes its physical features and food source when it becomes an adult? (A) Duck (B) Turtle (C) Trout (D) Butterfly,Biology,"['adult', 'ecosystem', 'pond', 'source', 'trout']",adult ecosystem pond source trout,0,adult ecosystem pond source trout,0
OHAT_2007_5_30,C,Ohio Achievement Tests,5,Use the following information to answer the question. Model Telephone Two students want to find out what affects the sounds heard through model telephones. They investigate the materials used and the tightness of the material connecting the cups. Their first three setups are shown. They use the same length of string or wire in each setup. The boy repeats the same sounds at the same volume for each setup. {OH-5-2007-15} They record results of the three setups in the table below. {OH-5-2007-16} Which variable changed between setup 1 and setup 2? (A) the type of cups used (B) the number of cups used (C) the tightness of the string (D) the thickness of the string,Biology,"['cups', 'setup', 'sounds', 'string', 'used']",cup setup sound string use,0,cup setup sound string,0
OHAT_2007_5_36,B,Ohio Achievement Tests,5,Use the following table to answer the question. {OH-5-2007-19} A student created this table for a report on animals that can be found in Ohio. Which animals give birth to live young? (A) hawk and black bear (B) beaver and black bear (C) hawk and potato beetle (D) beaver and potato beetle,Biology,"['animals', 'bear', 'beaver', 'beetle', 'table']",animal bear beaver beetle table,4,animal bear beaver beetle,0
OHAT_2008_5_15,C,Ohio Achievement Tests,5,Which electric circuit produces light? (A) {OH-5-2008-4} (B) {OH-5-2008-5} (C) {OH-5-2008-6} (D) {OH-5-2008-7},Biology,"['circuit', 'electric', 'light', 'produces']",circuit electric light produce,0,circuit electric light produce,0
OHAT_2008_5_42,B,Ohio Achievement Tests,5,"Use the following information to answer the question. Two Investigations Students conduct investigations with solids and liquids over several days. {OH-5-2008-11} Students pour vinegar into a beaker. They add a spoonful of baking soda to the vinegar. They observe bubbles. The bubbles stop when the baking soda is no longer visible. {OH-5-2008-12} Students pour water into a beaker. They add a cube of frozen water (ice). They observe that the water level changes to 500 mL. After a few minutes, the cube begins to melt. When the cube melts, the water level does not change. Look at the investigation from day 1. What observation suggests that a gas has formed? (A) The baking soda disappears. (B) Bubbles are formed in the vinegar. (C) All chemical reactions produce gas. (D) The vinegar begins to give off a smell.",Biology,"['cube', 'level', 'students', 'vinegar', 'water']",cube level student vinegar water,0,cube level vinegar water,0
OHAT_2009_5_35,C,Ohio Achievement Tests,5,Three metal cubes are heated to the temperatures shown and placed in contact with one another on a nonconducting surface. The picture below shows the cubes next to one another and their temperatures. {OH-5-2009-22} In which direction does thermal energy begin to flow between the metal cubes? (A) {OH-5-2009-23} (B) {OH-5-2009-24} (C) {OH-5-2009-25} (D) {OH-5-2009-26},Biology,"['another', 'contact', 'cubes', 'one', 'temperatures']",another contact cub one temperature,0,another contact cub one temperature,0
OHAT_2010_5_17,C,Ohio Achievement Tests,5,"Use the illustrations below to compare the life cycles of mosquitoes and grasshoppers. {OH-5-2010-7} What is one correct comparison of the mosquito and grasshopper life cycles? (A) Mosquito larvae develop on land, and grasshopper nymphs develop in water. (B) Grasshopper eggs are laid in water, and mosquito eggs are laid in the ground. (C) Mosquitoes change habitats during their lives, and grasshoppers develop in the same habitat. (D) Grasshoppers change shape as they develop, and mosquitoes do not change shape as they develop.",Biology,"['change', 'develop', 'grasshopper', 'mosquito', 'mosquitoes']",change develop grasshopper mosquito mosquito,0,develop grasshopper mosquito mosquito,0
TAKS_2009_5_24,A,TAKS,5,"{TX-5-2009-21} Some students measured the growth of four tomato plants after one month. The plants grew in identical containers with different soils. The Students made a table of their data, as shown above. What is the best title for the second column in their table? (A) Plant Height (cm) (B) Days of Growth (C) Container Size (mL) (D) Number of Plants",Biology,"['best', 'growth', 'plants', 'students', 'table']",best growth plant student table,0,growth plant,0
TAKS_2009_5_35,C,TAKS,5,"{TX-5-2009-26} At the beginning of the week, there were three snails and 12 live plants in an aquarium. The picture above shows the aquarium at the end of the week. Which of the following most likely happened during the week? (A) The snails reproduced faster than the plants. (B) The plants grew at a faster rate than the snails. (C) The snails ate many of the plants. (D) The number of plants and snails both decreased.",Biology,"['aquarium', 'faster', 'plants', 'snails', 'week']",aquarium faster plant snail week,0,aquarium faster plant snail week,0
TAKS_2009-A_5_7,A,TAKS,5,Look at the drawing below. It shows a spoon in a bowl of water. The spoon looks broken. {TX-5-2009-30} What makes the spoon look broken? (A) The light is being refracted. (B) The light is being conducted. (C) The light is being absorbed.,Biology,"['absorbed', 'broken', 'light', 'look', 'spoon']",absorb broken light look spoon,0,absorb broken light look spoon,0
TAKS_2009-A_5_11,B,TAKS,5,"Look at the chart below. It is a record of the average sea level in centimeters (cm) at Galveston, Texas, from 1950 to 1975. {TX-5-2009-31} How many centimeters (cm) did the average sea level change from 1950 to 1975? (A) 2 cm (B) 10 cm (C) 254 cm",Biology,"['average', 'centimeters', 'cm', 'level', 'sea']",average centimeter cm level sea,0,average centimeter cm level sea,0
TAKS_2009-A_5_14,C,TAKS,5,Look at the diagram below. It shows a ball as it falls and then bounces several times. {TX-5-2009-32} What will happen to the ball in the next few seconds? (A) It will bounce higher. (B) It will become flat. (C) It will stop moving.,Biology,"['ball', 'next', 'seconds', 'several', 'shows']",ball next second several show,3,ball next second several,0
VASoL_2007_3_10,A,Virginia Standards of Learning - Science,3,{VA-3-2007-9} These girls can hear each other because the string — (A) vibrates (B) stretches (C) is strong (D) is long,Biology,"['girls', 'hear', 'long', 'stretches', 'string']",girl hear long stretch string,0,girl hear long stretch string,0
VASoL_2007_3_11,B,Virginia Standards of Learning - Science,3,{VA-3-2007-10} Which of the following describes the motion of Earth shown in this picture? (A) Vibrating (B) Rotating (C) Revolving (D) Falling,Biology,"['describes', 'earth', 'falling', 'following', 'motion']",describes earth fall follow motion,0,describes earth fall motion,1
VASoL_2007_3_37,A,Virginia Standards of Learning - Science,3,{VA-3-2007-46} Which of these belongs in the center? (A) Things that cover animal bodies (B) Things that make the animal smaller (C) Things that keep animal bodies cool (D) Things that help animal bodies get oxygen,Biology,"['animal', 'belongs', 'bodies', 'center', 'things']",animal belongs body center thing,4,animal belongs body center thing,0
VASoL_2008_3_7,B,Virginia Standards of Learning - Science,3,Students grew some seeds in a plastic bag. They then took a picture each day to have a record of growth. Which of these is probably the first picture the students took? (A) {VA-3-2008-8} (B) {VA-3-2008-9} (C) {VA-3-2008-10} (D) {VA-3-2008-11},Biology,"['bag', 'day', 'picture', 'students', 'took']",bag day picture student take,0,bag day picture take,0
VASoL_2010_3_12,A,Virginia Standards of Learning - Science,3,{VA-3-2010-8} Students planted two types of bean seeds. Both types of bean plants are measured after two weeks. Which of these questions are they MOST likely trying to answer? (A) Which type of bean plant grows faster? (B) Which type of bean plant is prettier? (C) Which type of bean plant tastes better? (D) Which type of bean plant costs more?,Biology,"['bean', 'plant', 'two', 'type', 'types']",bean plant two type type,0,bean plant two type type,0
VASoL_2010_3_31,B,Virginia Standards of Learning - Science,3,{VA-3-2010-28} This pencil is about how many paper clips long? (A) 2 (B) 5 (C) 7 (D) 9,Biology,"['clips', 'long', 'many', 'paper', 'pencil']",clip long many paper pencil,0,clip long many paper pencil,0
VASoL_2010_3_33,C,Virginia Standards of Learning - Science,3,Which of these birds MOST likely uses its beak to scoop up small fish for food? (A) {VA-3-2010-30} (B) {VA-3-2010-31} (C) {VA-3-2010-32} (D) {VA-3-2010-33},Biology,"['beak', 'birds', 'fish', 'food', 'likely']",beak bird fish food likely,0,beak bird fish food,0
VASoL_2007_5_3,D,Virginia Standards of Learning - Science,5,{VA-5-2007-3} Which of these belongs in square (A) of this flow chart? A Bird (B) Toad (C) Snake (D) Fish,Biology,"['belongs', 'bird', 'chart', 'fish', 'flow']",belongs bird chart fish flow,0,belongs bird chart fish flow,0
VASoL_2007_5_33,B,Virginia Standards of Learning - Science,5,{VA-5-2007-34} Which of the following organisms provides energy for more than one organism in this food web? (A) Bird (B) Plant (C) Fox (D) Mouse,Biology,"['bird', 'energy', 'following', 'food', 'fox']",bird energy follow food fox,0,bird energy food fox,0
VASoL_2008_5_21,B,Virginia Standards of Learning - Science,5,"{VA-5-2008-22} Which location is likely to have the greatest water pressure, the coldest temperatures, and the smallest number of living organisms? (A) 1 (B) 2 (C) 3 (D) 4",Biology,"['coldest', 'greatest', 'likely', 'living', 'location']",coldest great likely living location,0,coldest great living location,0
VASoL_2008_5_39,C,Virginia Standards of Learning - Science,5,{VA-5-2008-38} Which labeled part in this picture has evidence of kinetic energy? (A) 1 (B) 2 (C) 3 (D) 4,Biology,"['energy', 'evidence', 'kinetic', 'labeled', 'part']",energy evidence kinetic label part,0,energy evidence kinetic label part,0
VASoL_2009_5_1,B,Virginia Standards of Learning - Science,5,"{VA-5-2009-1} Based on the picture, the bag of leaves has — (A) less mass than the pebble (B) the same mass as the pebble (C) the same volume as the pebble (D) less volume than the pebble",Biology,"['bag', 'less', 'mass', 'pebble', 'volume']",bag le mass pebble volume,0,bag le mass pebble volume,4
VASoL_2009_5_39,C,Virginia Standards of Learning - Science,5,{VA-5-2009-28} Lee uses a microscope during science class. He sees this organism in a drop of water. Which organism did he most likely see? (A) Paramecium (B) Vorticella (C) Euglena (D) Amoeba,Biology,"['amoeba', 'class', 'drop', 'euglena', 'organism']",amoeba class drop euglena organism,0,amoeba class drop euglena organism,0
VASoL_2010_5_2,D,Virginia Standards of Learning - Science,5,"{VA-5-2010-1} A student observes a mineral that is colorless and harder than glass. Based on the chart, which mineral is the student observing? (A) Amphibole (B) Feldspar (C) Garnet (D) Quartz",Biology,"['amphibole', 'based', 'chart', 'mineral', 'student']",amphibole base chart mineral student,0,amphibole base chart mineral,0
VASoL_2010_5_19,B,Virginia Standards of Learning - Science,5,{VA-5-2010-17} Part of a coral reef is shown. A coral reef is — (A) a rock (B) an ecosystem (C) an ocean current (D) an underwater cave,Biology,"['cave', 'coral', 'current', 'ecosystem', 'reef']",cave coral current ecosystem reef,0,cave coral current ecosystem reef,0
VASoL_2011_5_5,D,Virginia Standards of Learning - Science,5,{VA-5-2011-2} Acorn barnacles are seashore animals found on rocks. They live 1 to 2 meters above low-tide level. These rocks are the acorn barnacles’ — (A) ecosystem (B) community (C) food web (D) habitat,Biology,"['acorn', 'animals', 'barnacles', 'community', 'rocks']",acorn animal barnacle community rock,4,acorn animal barnacle community rock,0
VASoL_2011_5_33,D,Virginia Standards of Learning - Science,5,{VA-5-2011-29} Which of these is a difference between tadpoles and adult frogs? (A) Only tadpoles can swim. (B) Only tadpoles can lay eggs. (C) Only frogs are eaten by predators. (D) Only frogs can survive on land.,Biology,"['adult', 'difference', 'eaten', 'frogs', 'tadpoles']",adult difference eaten frog tadpole,0,adult difference eaten frog tadpole,0
WashingtonMSP_2012_5_7,A,Washington MSP,5,"Use the following information to answer the question. Paul and Sheryl studied a Toy Car System at school. The Toy Car System is a model car with a battery. When the ON button is pressed, the toy car rolls forward, plays music, and flashes the headlamps. Paul and Sheryl made the following diagram showing the parts of the Toy Car System. {WA-5-2012-3} Paul and Sheryl did an investigation with the toy car. They recorded their data in the table shown. {WA-5-2012-4} What question can Paul and Sheryl answer with their data? (A) How does the time the car rolled affect the distance the car moved? (B) How does the size of the wheels affect the distance the car moved? (C) How does the mass of the car affect the distance the car moved?",Biology,"['affect', 'car', 'moved', 'sheryl', 'toy']",affect car move sheryl toy,0,affect car move sheryl toy,0
WashingtonMSP_2012_5_9,A,Washington MSP,5,"Use the following information to answer the question. Paul and Sheryl studied a Toy Car System at school. The Toy Car System is a model car with a battery. When the ON button is pressed, the toy car rolls forward, plays music, and flashes the headlamps. Paul and Sheryl made the following diagram showing the parts of the Toy Car System. {WA-5-2012-3} Most real cars are powered by gasoline. Scientists are developing cars powered only by batteries. What is a problem scientists are trying to solve by developing these cars? (A) Gasoline resources are limited. (B) Cars often break down on highways. (C) Batteries are expensive to produce.",Biology,"['car', 'cars', 'following', 'system', 'toy']",car car follow system toy,0,car car system toy,0
94512,C,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Which force causes the rock materials to move from A to B? (A) electricity (B) friction (C) gravity (D) magnetism",Biology,"['air', 'diagram', 'materials', 'rock', 'shows']",air diagram material rock show,1,air material rock,3
94513,A,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Letter C shows the process of erosion, because rock material is (A) moved by running water (B) chipped, with sharp edges (C) forming solid rock (D) soaked in ocean water",Biology,"['diagram', 'materials', 'rock', 'shows', 'water']",diagram material rock show water,1,material rock water,0
94514,B,NYSEDREGENTS,4,"Base your answer on the diagram below and on your knowledge of science. The diagram shows what happens to rock materials as they interact with air and water. Letters A, B, C, and D show some rock materials at different places on Earth’s surface. {Regents_2014_4th_Grade_01} Letter D shows the process of deposition, because rock material is (A) broken up by the ocean bottom (B) settled on the ocean bottom (C) moved by ocean water (D) absorbed by ocean water",Biology,"['bottom', 'ocean', 'rock', 'shows', 'water']",bottom ocean rock show water,3,bottom ocean rock water,0
